City,Company,Size,Type,Revenue,Headquarter,Founded,Industry,Job,Internship,Base_Pay,Low,25_%,75_%,High,Additional_Pay_Avg,Cash_Bonus,Stock_Bonus,Total_Pay,Confidence,Reviews,Jobs,Salaries,Interviews,Benefits
"arlington, va",General Dynamics Information Technology,10000+ Employees,Subsidiary or Business Segment,$2 to $5 billion (USD),"Fairfax, VA",1996.0,IT Services,"General Dynamics Information Technology Data Scientist Salaries in Washington, DC Area",0,"$117,008",$78K,$97K,$123K,$125K,$1,$1 Avg,$1 Avg,"$117,008",Very High Confidence,3.0k,2.7k,7.3k,426,854
"arlington, va",Micron Technology,10000+ Employees,Company - Public (MU),$10+ billion (USD),"Boise, ID",1978.0,Computer Hardware & Software,"Micron Technology Data Scientist Salaries in Washington, DC Area",0,"$108,770",$79K,$102K,$114K,$128K,"$5,555","$5,555 Avg","$5,555 Avg","$112,873",Very High Confidence,3.6k,1.4k,6.8k,1.2k,1.0k
"arlington, va",Noblis,1001 to 5000 Employees,Nonprofit Organization,$100 to $500 million (USD),"Reston, VA",1996.0,Consulting,"Noblis Data Scientist Salaries in Washington, DC Area",0,"$85,520",$80K,$85K,$94K,$102K,"$3,302","$3,302 Avg","$3,302 Avg","$88,373",Very High Confidence,230,428,614,43,114
"arlington, va",Amazon,10000+ Employees,Company - Public (AMZN),$10+ billion (USD),"Seattle, WA",1994.0,Internet,"Amazon Data Scientist Salaries in Washington, DC Area",0,"$134,586",$61K,$100K,$150K,$152K,"$21,274","$21,274 Avg","$21,274 Avg","$134,586",Very High Confidence,91k,144k,171k,34k,20k
"arlington, va",Facebook,10000+ Employees,Company - Public (FB),$10+ billion (USD),"Menlo Park, CA",2004.0,Internet,"Facebook Data Scientist Salaries in Washington, DC Area",0,"$129,772",$66K,$100K,$186K,$200K,"$34,273","$34,273 Avg","$34,273 Avg","$129,772",Very High Confidence,8.3k,7.4k,31k,8.0k,2.8k
"arlington, va",US Department of Defense,10000+ Employees,Government,$10+ billion (USD),"Washington, DC",1947.0,Aerospace & Defense,"US Department of Defense Data Scientist Salaries in Washington, DC Area",0,"$93,013",$82K,$85K,$104K,$105K,"$14,020","$14,020 Avg","$14,020 Avg","$93,013",Very High Confidence,3.2k,97,6.9k,289,997
"arlington, va",National Geospatial-Intelligence Agency,10000+ Employees,Government,Unknown / Non-Applicable,"Springfield, VA",1996.0,Aerospace & Defense,"National Geospatial-Intelligence Agency Data Scientist Salaries in Washington, DC Area",0,"$112,369",$84K,$84K,$118K,$127K,"$3,255","$3,255 Avg","$3,255 Avg","$112,369",High Confidence,228,11,454,42,89
"arlington, va",Novetta,501 to 1000 Employees,Company - Private,$100 to $500 million (USD),"Mc Lean, VA",2012.0,Enterprise Software & Network Solutions,"Novetta Data Scientist Salaries in Washington, DC Area",0,"$157,428",$107K,$107K,$176K,$185K,0,0,0,"$157,428",Very High Confidence,186,269,396,37,82
"arlington, va",Visa Inc.,10000+ Employees,Company - Public (V),$10+ billion (USD),"Foster City, CA",1958.0,IT Services,"Visa Inc. Data Scientist Salaries in Washington, DC Area",0,"$126,893",$102K,$110K,$128K,$133K,"$11,241","$11,241 Avg","$11,241 Avg","$126,893",Very High Confidence,4.3k,1.6k,8.7k,1.5k,1.9k
"arlington, va",CACI International,10000+ Employees,Company - Public (CACI),$2 to $5 billion (USD),"Arlington, VA",1962.0,Aerospace & Defense,"CACI International Data Scientist Salaries in Washington, DC Area",0,"$100,862",$75K,$90K,$135K,$142K,"$4,030","$4,030 Avg","$4,030 Avg","$100,862",High Confidence,2.2k,2.1k,4.1k,355,638
"arlington, va",2nd Order Solutions,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,"Glen Allen, VA",2008.0,Consulting,"2nd Order Solutions Data Scientist Salaries in Washington, DC Area",0,"$105,893",$102K,$103K,$107K,$107K,"$10,000","$10,000 Avg","$10,000 Avg","$107,131",High Confidence,1,2,14,1,0
"arlington, va",US Army,10000+ Employees,Government,Unknown / Non-Applicable,"Washington, DC",1775.0,Federal Agencies,"US Army Data Scientist Salaries in Washington, DC Area",0,"$130,354",$98K,$106K,$148K,$155K,0,0,0,"$130,354",High Confidence,31k,65k,61k,2.0k,13k
"arlington, va",Northrop Grumman,10000+ Employees,Company - Public (NOC),$10+ billion (USD),"Falls Church, VA",1939.0,Aerospace & Defense,"Northrop Grumman Data Scientist Salaries in Washington, DC Area",0,"$106,646",$92K,$93K,$113K,$114K,0,0,0,"$106,646",High Confidence,7.8k,3.6k,19k,1.7k,2.2k
"arlington, va",Freddie Mac,5001 to 10000 Employees,Company - Public (FMCC),$10+ billion (USD),"McLean, VA",1970.0,Lending,"Freddie Mac Data Scientist Salaries in Washington, DC Area",0,"$112,952",$100K,$103K,$140K,$143K,"$13,812","$13,812 Avg","$13,812 Avg","$118,599",High Confidence,1.4k,425,3.3k,389,641
"arlington, va",The World Bank,10000+ Employees,Nonprofit Organization,$5 to $10 billion (USD),"Washington, DC",1945.0,Lending,"The World Bank Data Scientist Salaries in Washington, DC Area",0,"$112,410",$82K,$84K,$126K,$139K,0,0,0,"$112,410",High Confidence,2.2k,80,2.3k,387,542
"arlington, va",Perspecta,10000+ Employees,Company - Public (PRSP),Unknown / Non-Applicable,"Chantilly, VA",2018.0,Aerospace & Defense,"Perspecta Data Scientist Salaries in Washington, DC Area",0,"$120,492",$50K,$54K,$134K,$147K,0,0,0,"$120,492",Very High Confidence,790,1,2.4k,62,230
"arlington, va",Guidehouse,5001 to 10000 Employees,Company - Private,Unknown / Non-Applicable,"Washington, DC",2018.0,Consulting,"Guidehouse Data Scientist Salaries in Washington, DC Area",0,"$104,224",$89K,$94K,$121K,$122K,"$61,610","$61,610 Avg","$61,610 Avg","$120,000",Very High Confidence,599,1.8k,1.6k,160,100
"arlington, va",Federal Reserve Board,1001 to 5000 Employees,Government,Unknown / Non-Applicable,"Washington, DC",1913.0,Federal Agencies,"Federal Reserve Board Data Scientist Salaries in Washington, DC Area",0,"$90,836",$91K,$91K,$127K,$138K,"$7,194","$7,194 Avg","$7,194 Avg","$96,892",High Confidence,333,114,925,94,111
"arlington, va",LMI,1001 to 5000 Employees,Company - Private,$100 to $500 million (USD),"Tysons Corner, VA",1961.0,Consulting,"LMI Data Scientist Salaries in Washington, DC Area",0,"$110,778",$87K,$88K,$125K,$126K,"$7,206","$7,206 Avg","$7,206 Avg","$113,943",High Confidence,302,427,546,53,83
"arlington, va",SemanticBits,51 to 200 Employees,Company - Private,$5 to $10 million (USD),"Herndon, VA",2005.0,Enterprise Software & Network Solutions,"SemanticBits Data Scientist Salaries in Washington, DC Area",0,"$114,974",$112K,$112K,$131K,$141K,0,0,0,"$114,974",High Confidence,109,29,202,52,43
"arlington, va",Ntrepid,201 to 500 Employees,Company - Private,$50 to $100 million (USD),"Herndon, VA",2010.0,IT Services,"Ntrepid Data Scientist Salaries in Washington, DC Area",0,"$94,348",$89K,$90K,$125K,$134K,"$5,300","$5,300 Avg","$5,300 Avg","$96,998",High Confidence,70,14,141,16,18
"arlington, va",United States Federal Government,1001 to 5000 Employees,Government,Unknown / Non-Applicable,"Washington, DC",,Federal Agencies,"United States Federal Government Data Scientist Salaries in Washington, DC Area",0,"$112,696",$96K,$100K,$116K,$116K,0,0,0,"$112,696",High Confidence,2.8k,12,5.8k,206,1.1k
